symbol,base_asset,onboard_date,quote_volume_24h,last_price,universe_source
DODOUSDT,DODO,,8891885.023462,0.02265,official_binance_spot_volume_mapped_to_usdm
PUMPUSDT,PUMP,,8686876.737593,0.002492,official_binance_spot_volume_mapped_to_usdm
DEXEUSDT,DEXE,,7632123.46562,2.213,official_binance_spot_volume_mapped_to_usdm
GIGGLEUSDT,GIGGLE,,7437825.03042,34.84,official_binance_spot_volume_mapped_to_usdm
BANKUSDT,BANK,,7110342.66809,0.039,official_binance_spot_volume_mapped_to_usdm
UUSDT,U,,6562392.3835,1.0,official_binance_spot_volume_mapped_to_usdm
EPICUSDT,EPIC,,6360151.56197,1.054,official_binance_spot_volume_mapped_to_usdm
ZBTUSDT,ZBT,,6357922.70242,0.1064,official_binance_spot_volume_mapped_to_usdm
SYNUSDT,SYN,,6309083.049709,0.10748,official_binance_spot_volume_mapped_to_usdm
LINKUSDT,LINK,,6224842.00252,8.302,official_binance_spot_volume_mapped_to_usdm
1000PEPEUSDT,PEPE,,5778168.53247777,2.86e-06,official_binance_spot_volume_mapped_to_usdm
SAGAUSDT,SAGA,,5625025.941456,0.0186,official_binance_spot_volume_mapped_to_usdm
IOTXUSDT,IOTX,,5579954.65843,0.00344,official_binance_spot_volume_mapped_to_usdm
ICPUSDT,ICP,,5572096.62996,2.169,official_binance_spot_volume_mapped_to_usdm
UNIUSDT,UNI,,5248149.38148,3.965,official_binance_spot_volume_mapped_to_usdm
AVAXUSDT,AVAX,,5131212.46997,6.471,official_binance_spot_volume_mapped_to_usdm
PENGUUSDT,PENGU,,4997474.453233,0.006318,official_binance_spot_volume_mapped_to_usdm
LTCUSDT,LTC,,4923789.00172,46.0,official_binance_spot_volume_mapped_to_usdm
ENAUSDT,ENA,,4856867.470278,0.0894,official_binance_spot_volume_mapped_to_usdm
PIXELUSDT,PIXEL,,4681337.597211,0.0047,official_binance_spot_volume_mapped_to_usdm
COOKIEUSDT,COOKIE,,4655162.91257,0.0121,official_binance_spot_volume_mapped_to_usdm
ALLOUSDT,ALLO,,4583935.54401,0.3102,official_binance_spot_volume_mapped_to_usdm
HMSTRUSDT,HMSTR,,4566532.1047687,0.0002287,official_binance_spot_volume_mapped_to_usdm
ONDOUSDT,ONDO,,4281080.23607,0.3489,official_binance_spot_volume_mapped_to_usdm
FETUSDT,FET,,4278199.36833,0.137,official_binance_spot_volume_mapped_to_usdm
WLDUSDT,WLD,,4274522.49398,0.3037,official_binance_spot_volume_mapped_to_usdm
AAVEUSDT,AAVE,,4212441.47582,90.79,official_binance_spot_volume_mapped_to_usdm
FILUSDT,FIL,,3776658.661975,0.7109,official_binance_spot_volume_mapped_to_usdm
HFTUSDT,HFT,,3768971.5596889,0.010906,official_binance_spot_volume_mapped_to_usdm
MUBARAKUSDT,MUBARAK,,3747106.777606,0.01625,official_binance_spot_volume_mapped_to_usdm
ZAMAUSDT,ZAMA,,3695390.27845,0.04786,official_binance_spot_volume_mapped_to_usdm
HOMEUSDT,HOME,,3348666.9157,0.00945,official_binance_spot_volume_mapped_to_usdm
INJUSDT,INJ,,3240385.78685,4.408,official_binance_spot_volume_mapped_to_usdm
XLMUSDT,XLM,,3181410.7698,0.1636,official_binance_spot_volume_mapped_to_usdm
GLMRUSDT,GLMR,,3164864.1826582,0.009391,official_binance_spot_volume_mapped_to_usdm
JSTUSDT,JST,,3093830.754422,0.10221,official_binance_spot_volume_mapped_to_usdm
GRAMUSDT,GRAM,,3071973.79472,1.346,official_binance_spot_volume_mapped_to_usdm
CATIUSDT,CATI,,3067659.76645,0.04378,official_binance_spot_volume_mapped_to_usdm
BROCCOLI714USDT,BROCCOLI714,,2946023.83813,0.01723,official_binance_spot_volume_mapped_to_usdm
WBTCUSDT,WBTC,,2938055.9950448,64822.31,official_binance_spot_volume_mapped_to_usdm
DASHUSDT,DASH,,2921678.96674,31.8,official_binance_spot_volume_mapped_to_usdm
ORDIUSDT,ORDI,,2886615.63959,3.496,official_binance_spot_volume_mapped_to_usdm
TRUMPUSDT,TRUMP,,2861869.757544,1.486,official_binance_spot_volume_mapped_to_usdm
SPYBUSDT,SPYB,,2806845.39011,774.4,official_binance_spot_volume_mapped_to_usdm
CETUSUSDT,CETUS,,2805490.057246,0.01877,official_binance_spot_volume_mapped_to_usdm
APTUSDT,APT,,2628706.50038,0.603,official_binance_spot_volume_mapped_to_usdm
VICUSDT,VIC,,2580095.37733,0.0306,official_binance_spot_volume_mapped_to_usdm
XAIUSDT,XAI,,2571881.209922,0.00732,official_binance_spot_volume_mapped_to_usdm
CRVUSDT,CRV,,2520233.29551,0.2286,official_binance_spot_volume_mapped_to_usdm
EURUSDT,EUR,,2450381.84181,1.156,official_binance_spot_volume_mapped_to_usdm
