symbol,base_asset,onboard_date,quote_volume_24h,last_price,universe_source
REUSDT,RE,,10068540.50351,0.4065,official_binance_spot_volume_mapped_to_usdm
EURIUSDT,EURI,,9828313.85879,1.1558,official_binance_spot_volume_mapped_to_usdm
HEIUSDT,HEI,,9640947.66248,0.1834,official_binance_spot_volume_mapped_to_usdm
DODOUSDT,DODO,,8836067.231043,0.02239,official_binance_spot_volume_mapped_to_usdm
PUMPUSDT,PUMP,,8555782.036348,0.002453,official_binance_spot_volume_mapped_to_usdm
DEXEUSDT,DEXE,,7782014.14811,2.217,official_binance_spot_volume_mapped_to_usdm
EPICUSDT,EPIC,,7654930.27519,1.0604,official_binance_spot_volume_mapped_to_usdm
GIGGLEUSDT,GIGGLE,,7328949.94643,35.63,official_binance_spot_volume_mapped_to_usdm
BANKUSDT,BANK,,7147450.60506,0.039,official_binance_spot_volume_mapped_to_usdm
UUSDT,U,,6712943.3526,1.0001,official_binance_spot_volume_mapped_to_usdm
LINKUSDT,LINK,,6464530.42203,8.292,official_binance_spot_volume_mapped_to_usdm
ZBTUSDT,ZBT,,6358817.07507,0.1079,official_binance_spot_volume_mapped_to_usdm
SYNUSDT,SYN,,6337556.072316,0.10605,official_binance_spot_volume_mapped_to_usdm
1000PEPEUSDT,PEPE,,6005077.87840433,2.85e-06,official_binance_spot_volume_mapped_to_usdm
ICPUSDT,ICP,,5537415.71984,2.167,official_binance_spot_volume_mapped_to_usdm
UNIUSDT,UNI,,5389415.50881,3.971,official_binance_spot_volume_mapped_to_usdm
AVAXUSDT,AVAX,,5215834.35762,6.469,official_binance_spot_volume_mapped_to_usdm
IOTXUSDT,IOTX,,5173323.17761,0.00349,official_binance_spot_volume_mapped_to_usdm
PENGUUSDT,PENGU,,5141569.793775,0.006291,official_binance_spot_volume_mapped_to_usdm
SAGAUSDT,SAGA,,5077648.346331,0.01784,official_binance_spot_volume_mapped_to_usdm
LTCUSDT,LTC,,4933111.90492,46.01,official_binance_spot_volume_mapped_to_usdm
ENAUSDT,ENA,,4843236.162133,0.0898,official_binance_spot_volume_mapped_to_usdm
ALLOUSDT,ALLO,,4701630.7276,0.3084,official_binance_spot_volume_mapped_to_usdm
PIXELUSDT,PIXEL,,4648163.643813,0.00465,official_binance_spot_volume_mapped_to_usdm
COOKIEUSDT,COOKIE,,4642046.8855,0.0118,official_binance_spot_volume_mapped_to_usdm
HMSTRUSDT,HMSTR,,4573412.652653,0.0002276,official_binance_spot_volume_mapped_to_usdm
ONDOUSDT,ONDO,,4368140.50494,0.3491,official_binance_spot_volume_mapped_to_usdm
WLDUSDT,WLD,,4308221.43244,0.3046,official_binance_spot_volume_mapped_to_usdm
FETUSDT,FET,,4270114.34074,0.1373,official_binance_spot_volume_mapped_to_usdm
AAVEUSDT,AAVE,,4239865.04575,90.74,official_binance_spot_volume_mapped_to_usdm
FILUSDT,FIL,,3851199.655005,0.711,official_binance_spot_volume_mapped_to_usdm
HFTUSDT,HFT,,3794762.3588328,0.010504,official_binance_spot_volume_mapped_to_usdm
MUBARAKUSDT,MUBARAK,,3702576.964627,0.01629,official_binance_spot_volume_mapped_to_usdm
ZAMAUSDT,ZAMA,,3555775.4832,0.04764,official_binance_spot_volume_mapped_to_usdm
XLMUSDT,XLM,,3349337.4469,0.1635,official_binance_spot_volume_mapped_to_usdm
SOXLBUSDT,SOXLB,,3323946.31686,142.54,official_binance_spot_volume_mapped_to_usdm
HOMEUSDT,HOME,,3297033.87894,0.00917,official_binance_spot_volume_mapped_to_usdm
INJUSDT,INJ,,3239732.62641,4.408,official_binance_spot_volume_mapped_to_usdm
GLMRUSDT,GLMR,,3122930.7610556,0.00934,official_binance_spot_volume_mapped_to_usdm
GRAMUSDT,GRAM,,3091891.39621,1.349,official_binance_spot_volume_mapped_to_usdm
CATIUSDT,CATI,,3060879.487948,0.04356,official_binance_spot_volume_mapped_to_usdm
WBTCUSDT,WBTC,,2955989.8944702,64805.02,official_binance_spot_volume_mapped_to_usdm
DASHUSDT,DASH,,2924823.4133,31.68,official_binance_spot_volume_mapped_to_usdm
JSTUSDT,JST,,2912536.018605,0.10179,official_binance_spot_volume_mapped_to_usdm
TRUMPUSDT,TRUMP,,2899521.171896,1.485,official_binance_spot_volume_mapped_to_usdm
BROCCOLI714USDT,BROCCOLI714,,2886543.87311,0.01793,official_binance_spot_volume_mapped_to_usdm
ORDIUSDT,ORDI,,2866697.17991,3.486,official_binance_spot_volume_mapped_to_usdm
SPYBUSDT,SPYB,,2828573.05773,774.21,official_binance_spot_volume_mapped_to_usdm
CETUSUSDT,CETUS,,2792469.459032,0.01831,official_binance_spot_volume_mapped_to_usdm
VICUSDT,VIC,,2629239.554389,0.0309,official_binance_spot_volume_mapped_to_usdm
XAIUSDT,XAI,,2561029.679629,0.00717,official_binance_spot_volume_mapped_to_usdm
APTUSDT,APT,,2536113.44286,0.61,official_binance_spot_volume_mapped_to_usdm
EURUSDT,EUR,,2463998.48943,1.156,official_binance_spot_volume_mapped_to_usdm
